S.N,District_Name,Zone,Ecological_Belt,Development_Region,Year_BS,Year_AD,Condition,Type,Male,Female,Age,Married,Unmarried,Education,Employment,Lat,Long,Age_Group
1912,Rupandehi,Lumbini,Terai,Western,2074,2017,Normal,Psychosis,55,57,57,23,89.0,"College degree, bachelor, master",yes,27.55443071,83.38330337,old
1913,Rupandehi,Lumbini,Terai,Western,2074,2017,Normal,Anxiety,23,20,55,29,14.0,Up to 9 years of school,yes,27.55443071,83.38330337,old
1914,Rupandehi,Lumbini,Terai,Western,2074,2017,Severe,Mental retardation,58,58,41,37,79.0,PhD/Doctorate,yes,27.55443071,83.38330337,old
1915,Rupandehi,Lumbini,Terai,Western,2074,2017,Severe,Hysteria,42,46,25,26,62.0,Unknown,yes,27.55443071,83.38330337,Middle-age
1916,Rupandehi,Lumbini,Terai,Western,2074,2017,Minor,Alcoholism,40,35,49,51,24.0,"College degree, bachelor, master",yes,27.55443071,83.38330337,old
1917,Rupandehi,Lumbini,Terai,Western,2074,2017,Normal,Epilepsy,34,46,50,34,46.0,PhD/Doctorate,yes,27.55443071,83.38330337,old
1918,Kapilvastu,Lumbini,Terai,Western,2074,2017,Severe,Depression,46,48,56,18,76.0,"College degree, bachelor, master",yes,27.62216856,82.9780085,old
1919,Kapilvastu,Lumbini,Terai,Western,2074,2017,Normal,Psychosis,60,30,25,35,55.0,"College degree, bachelor, master",yes,27.62216856,82.9780085,Middle-age
1920,Kapilvastu,Lumbini,Terai,Western,2074,2017,Minor,Anxiety,18,57,32,41,34.0,"College degree, bachelor, master",no,27.62216856,82.9780085,Middle-age
1921,Kapilvastu,Lumbini,Terai,Western,2074,2017,Normal,Mental retardation,24,32,35,51,5.0,"College degree, bachelor, master",no,27.62216856,82.9780085,Middle-age
1922,Kapilvastu,Lumbini,Terai,Western,2074,2017,Severe,Hysteria,41,31,38,20,52.0,"College degree, bachelor, master",no,27.62216856,82.9780085,Middle-age
1923,Kapilvastu,Lumbini,Terai,Western,2074,2017,Severe,Alcoholism,47,59,48,47,59.0,PhD/Doctorate,yes,27.62216856,82.9780085,old
1924,Kapilvastu,Lumbini,Terai,Western,2074,2017,Severe,Epilepsy,58,43,33,46,55.0,"College degree, bachelor, master",no,27.62216856,82.9780085,Middle-age
1925,Arghakhanchi,Lumbini,Hill,Western,2074,2017,Severe,Depression,21,24,51,20,25.0,"College degree, bachelor, master",yes,27.90779334,83.06585909,old
1926,Arghakhanchi,Lumbini,Hill,Western,2074,2017,Normal,Psychosis,59,32,27,38,53.0,"College degree, bachelor, master",no,27.90779334,83.06585909,Middle-age
1927,Arghakhanchi,Lumbini,Hill,Western,2074,2017,Severe,Anxiety,24,53,20,37,40.0,"College degree, bachelor, master",yes,27.90779334,83.06585909,Middle-age
1928,Arghakhanchi,Lumbini,Hill,Western,2074,2017,Severe,Mental retardation,55,46,25,41,60.0,Unknown,yes,27.90779334,83.06585909,Middle-age
1929,Arghakhanchi,Lumbini,Hill,Western,2074,2017,Severe,Hysteria,37,42,33,29,50.0,"College degree, bachelor, master",no,27.90779334,83.06585909,Middle-age
1930,Arghakhanchi,Lumbini,Hill,Western,2074,2017,Major,Alcoholism,41,35,39,34,42.0,"College degree, bachelor, master",no,27.90779334,83.06585909,Middle-age
1931,Arghakhanchi,Lumbini,Hill,Western,2074,2017,Normal,Epilepsy,40,34,40,48,26.0,PhD/Doctorate,no,27.90779334,83.06585909,old
1932,Pyuthan,Rapti,Hill,Mid-Western,2074,2017,Normal,Depression,55,54,53,20,89.0,"College degree, bachelor, master",no,28.09437706,82.88362705,old
1933,Pyuthan,Rapti,Hill,Mid-Western,2074,2017,Minor,Psychosis,28,34,24,37,25.0,"College degree, bachelor, master",yes,28.09437706,82.88362705,Middle-age
1934,Pyuthan,Rapti,Hill,Mid-Western,2074,2017,Major,Anxiety,48,33,38,45,36.0,"College degree, bachelor, master",no,28.09437706,82.88362705,Middle-age
1935,Pyuthan,Rapti,Hill,Mid-Western,2074,2017,Minor,Mental retardation,55,20,46,19,56.0,PhD/Doctorate,no,28.09437706,82.88362705,old
1936,Pyuthan,Rapti,Hill,Mid-Western,2074,2017,Severe,Hysteria,59,50,22,18,91.0,Unknown,yes,28.09437706,82.88362705,Middle-age
1937,Pyuthan,Rapti,Hill,Mid-Western,2074,2017,Normal,Alcoholism,59,29,58,52,36.0,Up to 9 years of school,no,28.09437706,82.88362705,old
1938,Pyuthan,Rapti,Hill,Mid-Western,2074,2017,Normal,Epilepsy,50,25,59,26,49.0,Up to 9 years of school,no,28.09437706,82.88362705,old
1939,Rolpa,Rapti,Hill,Mid-Western,2074,2017,Normal,Depression,52,27,38,40,39.0,"College degree, bachelor, master",no,28.32571386,82.61625263,Middle-age
1940,Rolpa,Rapti,Hill,Mid-Western,2074,2017,Severe,Psychosis,21,59,24,45,35.0,"College degree, bachelor, master",yes,28.32571386,82.61625263,Middle-age
1941,Rolpa,Rapti,Hill,Mid-Western,2074,2017,Severe,Anxiety,49,24,45,42,31.0,PhD/Doctorate,no,28.32571386,82.61625263,old
1942,Rolpa,Rapti,Hill,Mid-Western,2074,2017,Severe,Mental retardation,39,36,36,37,38.0,"College degree, bachelor, master",no,28.32571386,82.61625263,Middle-age
1943,Rolpa,Rapti,Hill,Mid-Western,2074,2017,Severe,Hysteria,26,32,18,6,52.0,Up to 12 years of school,no,28.32571386,82.61625263,young
1944,Rolpa,Rapti,Hill,Mid-Western,2074,2017,Major,Alcoholism,54,25,57,55,24.0,"College degree, bachelor, master",no,28.32571386,82.61625263,old
1945,Rolpa,Rapti,Hill,Mid-Western,2074,2017,Severe,Epilepsy,32,52,43,36,48.0,PhD/Doctorate,no,28.32571386,82.61625263,old
1946,Rukum,Rapti,Hill,Mid-Western,2074,2017,Normal,Depression,29,24,22,29,24.0,Unknown,no,28.69237626,82.66341805,Middle-age
1947,Rukum,Rapti,Hill,Mid-Western,2074,2017,Major,Psychosis,19,32,30,35,16.0,"College degree, bachelor, master",no,28.69237626,82.66341805,Middle-age
1948,Rukum,Rapti,Hill,Mid-Western,2074,2017,Normal,Anxiety,43,36,23,22,57.0,"College degree, bachelor, master",no,28.69237626,82.66341805,Middle-age
1949,Rukum,Rapti,Hill,Mid-Western,2074,2017,Normal,Mental retardation,60,29,22,32,57.0,"College degree, bachelor, master",no,28.69237626,82.66341805,Middle-age
1950,Rukum,Rapti,Hill,Mid-Western,2074,2017,Major,Hysteria,52,35,29,36,51.0,"College degree, bachelor, master",no,28.69237626,82.66341805,Middle-age
1951,Rukum,Rapti,Hill,Mid-Western,2074,2017,Severe,Alcoholism,46,24,32,60,10.0,"College degree, bachelor, master",no,28.69237626,82.66341805,Middle-age
1952,Rukum,Rapti,Hill,Mid-Western,2074,2017,Normal,Epilepsy,53,30,39,23,60.0,"College degree, bachelor, master",no,28.69237626,82.66341805,Middle-age
1953,Salyan,Rapti,Hill,Mid-Western,2074,2017,Severe,Depression,26,58,57,39,45.0,Up to 9 years of school,no,28.37833876,82.12383472,old
1954,Salyan,Rapti,Hill,Mid-Western,2074,2017,Major,Psychosis,18,44,30,18,44.0,"College degree, bachelor, master",no,28.37833876,82.12383472,Middle-age
1955,Salyan,Rapti,Hill,Mid-Western,2074,2017,Minor,Anxiety,52,25,47,38,39.0,PhD/Doctorate,Unknown,28.37833876,82.12383472,old
1956,Salyan,Rapti,Hill,Mid-Western,2074,2017,Minor,Mental retardation,51,22,44,21,52.0,PhD/Doctorate,Unknown,28.37833876,82.12383472,old
1957,Salyan,Rapti,Hill,Mid-Western,2074,2017,Normal,Hysteria,41,35,23,44,32.0,"College degree, bachelor, master",yes,28.37833876,82.12383472,Middle-age
1958,Salyan,Rapti,Hill,Mid-Western,2074,2017,Minor,Alcoholism,24,46,41,37,33.0,PhD/Doctorate,Unknown,28.37833876,82.12383472,old
1959,Salyan,Rapti,Hill,Mid-Western,2074,2017,Minor,Epilepsy,22,43,52,54,11.0,"College degree, bachelor, master",Unknown,28.37833876,82.12383472,old
1960,Dang,Rapti,Terai,Mid-Western,2074,2017,Normal,Depression,43,48,59,35,56.0,Up to 9 years of school,Unknown,27.97841875,82.43814156,old
1961,Dang,Rapti,Terai,Mid-Western,2074,2017,Minor,Psychosis,59,48,18,2,105.0,Up to 12 years of school,no,27.97841875,82.43814156,young
1962,Dang,Rapti,Terai,Mid-Western,2074,2017,Major,Anxiety,22,38,27,52,8.0,"College degree, bachelor, master",no,27.97841875,82.43814156,Middle-age
1963,Dang,Rapti,Terai,Mid-Western,2074,2017,Normal,Mental retardation,50,60,47,42,68.0,PhD/Doctorate,Unknown,27.97841875,82.43814156,old
1964,Dang,Rapti,Terai,Mid-Western,2074,2017,Normal,Hysteria,42,60,39,57,45.0,"College degree, bachelor, master",no,27.97841875,82.43814156,Middle-age
1965,Dang,Rapti,Terai,Mid-Western,2074,2017,Minor,Alcoholism,30,45,25,31,44.0,"College degree, bachelor, master",yes,27.97841875,82.43814156,Middle-age
1966,Dang,Rapti,Terai,Mid-Western,2074,2017,Major,Epilepsy,37,23,57,35,25.0,"College degree, bachelor, master",Unknown,27.97841875,82.43814156,old
1967,Banke,Bheri,Terai,Mid-Western,2074,2017,Normal,Depression,58,40,53,54,44.0,"College degree, bachelor, master",Unknown,28.12605255,81.79981157,old
1968,Banke,Bheri,Terai,Mid-Western,2074,2017,Normal,Psychosis,58,25,34,33,50.0,"College degree, bachelor, master",no,28.12605255,81.79981157,Middle-age
1969,Banke,Bheri,Terai,Mid-Western,2074,2017,Severe,Anxiety,38,29,44,32,35.0,PhD/Doctorate,Unknown,28.12605255,81.79981157,old
1970,Banke,Bheri,Terai,Mid-Western,2074,2017,Major,Mental retardation,54,31,23,60,25.0,"College degree, bachelor, master",yes,28.12605255,81.79981157,Middle-age
1971,Banke,Bheri,Terai,Mid-Western,2074,2017,Normal,Hysteria,51,19,59,33,37.0,Up to 9 years of school,Unknown,28.12605255,81.79981157,old
1972,Banke,Bheri,Terai,Mid-Western,2074,2017,Minor,Alcoholism,53,59,34,37,75.0,"College degree, bachelor, master",no,28.12605255,81.79981157,Middle-age
1973,Banke,Bheri,Terai,Mid-Western,2074,2017,Normal,Epilepsy,42,56,55,38,60.0,"College degree, bachelor, master",Unknown,28.12605255,81.79981157,old
1974,Bardiya,Bheri,Terai,Mid-Western,2074,2017,Severe,Depression,45,23,42,31,37.0,PhD/Doctorate,Unknown,28.33694949,81.46126455,old
1975,Bardiya,Bheri,Terai,Mid-Western,2074,2017,Minor,Psychosis,39,57,45,18,78.0,PhD/Doctorate,Unknown,28.33694949,81.46126455,old
1976,Bardiya,Bheri,Terai,Mid-Western,2074,2017,Major,Anxiety,21,43,22,43,21.0,"College degree, bachelor, master",yes,28.33694949,81.46126455,Middle-age
1977,Bardiya,Bheri,Terai,Mid-Western,2074,2017,Minor,Mental retardation,60,44,18,2,102.0,Up to 12 years of school,no,28.33694949,81.46126455,young
1978,Bardiya,Bheri,Terai,Mid-Western,2074,2017,Major,Hysteria,31,27,26,28,30.0,"College degree, bachelor, master",no,28.33694949,81.46126455,Middle-age
1979,Bardiya,Bheri,Terai,Mid-Western,2074,2017,Normal,Alcoholism,51,50,48,43,58.0,PhD/Doctorate,Unknown,28.33694949,81.46126455,old
1980,Bardiya,Bheri,Terai,Mid-Western,2074,2017,Normal,Epilepsy,20,54,40,45,29.0,PhD/Doctorate,no,28.33694949,81.46126455,old
1981,Surkhet,Bheri,Hill,Mid-Western,2074,2017,Severe,Depression,18,23,47,38,3.0,PhD/Doctorate,no,28.6672745,81.55422455,old
1982,Surkhet,Bheri,Hill,Mid-Western,2074,2017,Minor,Psychosis,49,45,33,54,40.0,"College degree, bachelor, master",no,28.6672745,81.55422455,Middle-age
1983,Surkhet,Bheri,Hill,Mid-Western,2074,2017,Major,Anxiety,58,38,47,40,56.0,PhD/Doctorate,no,28.6672745,81.55422455,old
1984,Surkhet,Bheri,Hill,Mid-Western,2074,2017,Major,Mental retardation,40,57,18,3,94.0,Up to 12 years of school,no,28.6672745,81.55422455,young
1985,Surkhet,Bheri,Hill,Mid-Western,2074,2017,Major,Hysteria,31,18,56,42,7.0,"College degree, bachelor, master",no,28.6672745,81.55422455,old
1986,Surkhet,Bheri,Hill,Mid-Western,2074,2017,Major,Alcoholism,24,26,53,37,13.0,"College degree, bachelor, master",no,28.6672745,81.55422455,old
1987,Surkhet,Bheri,Hill,Mid-Western,2074,2017,Severe,Epilepsy,19,42,22,52,9.0,"College degree, bachelor, master",yes,28.6672745,81.55422455,Middle-age
1988,Dailekh,Bheri,Hill,Mid-Western,2074,2017,Severe,Depression,58,59,57,25,92.0,None,no,28.89826774,81.67159209,old
1989,Dailekh,Bheri,Hill,Mid-Western,2074,2017,Major,Psychosis,46,47,37,41,52.0,"College degree, bachelor, master",no,28.89826774,81.67159209,Middle-age
1990,Dailekh,Bheri,Hill,Mid-Western,2074,2017,Severe,Anxiety,38,32,47,52,18.0,PhD/Doctorate,no,28.89826774,81.67159209,old
1991,Dailekh,Bheri,Hill,Mid-Western,2074,2017,Major,Mental retardation,40,53,37,25,68.0,"College degree, bachelor, master",no,28.89826774,81.67159209,Middle-age
1992,Dailekh,Bheri,Hill,Mid-Western,2074,2017,Major,Hysteria,20,38,41,40,18.0,PhD/Doctorate,no,28.89826774,81.67159209,old
1993,Dailekh,Bheri,Hill,Mid-Western,2074,2017,Major,Alcoholism,28,49,35,43,34.0,"College degree, bachelor, master",no,28.89826774,81.67159209,Middle-age
1994,Dailekh,Bheri,Hill,Mid-Western,2074,2017,Normal,Epilepsy,52,56,52,22,86.0,"College degree, bachelor, master",no,28.89826774,81.67159209,old
1995,Jajarkot,Bheri,Hill,Mid-Western,2074,2017,Major,Depression,24,36,31,29,31.0,"College degree, bachelor, master",no,28.86798437,82.1977929,Middle-age
1996,Jajarkot,Bheri,Hill,Mid-Western,2074,2017,Normal,Psychosis,46,19,44,36,29.0,PhD/Doctorate,no,28.86798437,82.1977929,old
1997,Jajarkot,Bheri,Hill,Mid-Western,2074,2017,Severe,Anxiety,30,47,43,52,25.0,PhD/Doctorate,no,28.86798437,82.1977929,old
1998,Jajarkot,Bheri,Hill,Mid-Western,2074,2017,Major,Mental retardation,31,36,58,26,41.0,"College degree, bachelor, master",no,28.86798437,82.1977929,old
1999,Jajarkot,Bheri,Hill,Mid-Western,2074,2017,Severe,Hysteria,57,51,33,49,59.0,"College degree, bachelor, master",Unknown,28.86798437,82.1977929,Middle-age
2000,Jajarkot,Bheri,Hill,Mid-Western,2074,2017,Normal,Alcoholism,46,23,26,37,32.0,"College degree, bachelor, master",Unknown,28.86798437,82.1977929,Middle-age
2001,Jajarkot,Bheri,Hill,Mid-Western,2074,2017,Minor,Epilepsy,38,22,35,55,5.0,"College degree, bachelor, master",Unknown,28.86798437,82.1977929,Middle-age
2002,Dolpa,Karnali,Mountain,Mid-Western,2074,2017,Severe,Depression,49,25,50,50,24.0,Unknown,no,29.25286365,83.07811054,old
2003,Dolpa,Karnali,Mountain,Mid-Western,2074,2017,Severe,Psychosis,55,18,57,42,31.0,None,no,29.25286365,83.07811054,old
2004,Dolpa,Karnali,Mountain,Mid-Western,2074,2017,Minor,Anxiety,36,20,30,55,1.0,"College degree, bachelor, master",Unknown,29.25286365,83.07811054,Middle-age
2005,Dolpa,Karnali,Mountain,Mid-Western,2074,2017,Minor,Mental retardation,23,29,20,51,1.0,"College degree, bachelor, master",no,29.25286365,83.07811054,Middle-age
2006,Dolpa,Karnali,Mountain,Mid-Western,2074,2017,Major,Hysteria,25,56,51,46,35.0,"College degree, bachelor, master",no,29.25286365,83.07811054,old
2007,Dolpa,Karnali,Mountain,Mid-Western,2074,2017,Normal,Alcoholism,27,28,19,35,20.0,"Some College, short continuing education or equivalent",yes,29.25286365,83.07811054,young
2008,Dolpa,Karnali,Mountain,Mid-Western,2074,2017,Major,Epilepsy,51,23,55,26,48.0,"College degree, bachelor, master",no,29.25286365,83.07811054,old
2009,Jumla,Karnali,Mountain,Mid-Western,2074,2017,Normal,Depression,41,24,52,41,24.0,PhD/Doctorate,no,29.2728938,82.20976273,old
2010,Jumla,Karnali,Mountain,Mid-Western,2074,2017,Severe,Psychosis,51,43,56,37,57.0,"College degree, bachelor, master",no,29.2728938,82.20976273,old
2011,Jumla,Karnali,Mountain,Mid-Western,2074,2017,Minor,Anxiety,30,25,26,44,11.0,"College degree, bachelor, master",Unknown,29.2728938,82.20976273,Middle-age
2012,Jumla,Karnali,Mountain,Mid-Western,2074,2017,Normal,Mental retardation,30,39,21,42,27.0,"College degree, bachelor, master",no,29.2728938,82.20976273,Middle-age
2013,Jumla,Karnali,Mountain,Mid-Western,2074,2017,Major,Hysteria,50,43,58,25,68.0,None,no,29.2728938,82.20976273,old
2014,Jumla,Karnali,Mountain,Mid-Western,2074,2017,Major,Alcoholism,36,40,21,20,56.0,"College degree, bachelor, master",no,29.2728938,82.20976273,Middle-age
2015,Jumla,Karnali,Mountain,Mid-Western,2074,2017,Minor,Epilepsy,32,37,28,39,30.0,"College degree, bachelor, master",Unknown,29.2728938,82.20976273,Middle-age
2016,Kalikot,Karnali,Mountain,Mid-Western,2074,2017,Major,Depression,33,27,55,26,34.0,PhD/Doctorate,no,29.21307603,81.76873832,old
2017,Kalikot,Karnali,Mountain,Mid-Western,2074,2017,Major,Psychosis,33,27,28,60,0.0,Unknown,Unknown,29.21307603,81.76873832,Middle-age
2018,Kalikot,Karnali,Mountain,Mid-Western,2074,2017,Severe,Anxiety,53,25,51,46,32.0,"College degree, bachelor, master",no,29.21307603,81.76873832,old
2019,Kalikot,Karnali,Mountain,Mid-Western,2074,2017,Normal,Mental retardation,58,47,26,31,74.0,"College degree, bachelor, master",Unknown,29.21307603,81.76873832,Middle-age
2020,Kalikot,Karnali,Mountain,Mid-Western,2074,2017,Major,Hysteria,24,41,59,32,33.0,Up to 12 years of school,no,29.21307603,81.76873832,old
2021,Kalikot,Karnali,Mountain,Mid-Western,2074,2017,Minor,Alcoholism,34,22,55,45,11.0,"College degree, bachelor, master",no,29.21307603,81.76873832,old
2022,Kalikot,Karnali,Mountain,Mid-Western,2074,2017,Major,Epilepsy,49,33,41,30,52.0,PhD/Doctorate,no,29.21307603,81.76873832,old
2023,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Minor,Depression,32,24,44,39,17.0,PhD/Doctorate,no,29.6346044,82.35940378,old
2024,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Minor,Psychosis,54,43,27,54,43.0,"College degree, bachelor, master",Unknown,29.6346044,82.35940378,Middle-age
2025,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Severe,Anxiety,50,46,18,5,91.0,Up to 12 years of school,no,29.6346044,82.35940378,young
2026,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Major,Mental retardation,22,57,43,33,46.0,PhD/Doctorate,no,29.6346044,82.35940378,old
2027,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Normal,Hysteria,34,19,21,18,35.0,"College degree, bachelor, master",no,29.6346044,82.35940378,Middle-age
2028,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Severe,Alcoholism,38,53,49,27,64.0,Up to 9 years of school,no,29.6346044,82.35940378,old
2029,Mugu,Karnali,Mountain,Mid-Western,2074,2017,Minor,Epilepsy,53,39,26,24,68.0,"College degree, bachelor, master",Unknown,29.6346044,82.35940378,Middle-age
2030,Humla,Karnali,Mountain,Mid-Western,2074,2017,Normal,Depression,25,36,56,38,23.0,"College degree, bachelor, master",no,30.03513341,81.89063467,old
2031,Humla,Karnali,Mountain,Mid-Western,2074,2017,Severe,Psychosis,26,60,19,38,48.0,"Some College, short continuing education or equivalent",no,30.03513341,81.89063467,young
2032,Humla,Karnali,Mountain,Mid-Western,2074,2017,Normal,Anxiety,46,30,59,25,51.0,Up to 9 years of school,no,30.03513341,81.89063467,old
2033,Humla,Karnali,Mountain,Mid-Western,2074,2017,Major,Mental retardation,20,56,54,45,31.0,"College degree, bachelor, master",no,30.03513341,81.89063467,old
2034,Humla,Karnali,Mountain,Mid-Western,2074,2017,Normal,Hysteria,53,29,40,41,41.0,PhD/Doctorate,no,30.03513341,81.89063467,old
2035,Humla,Karnali,Mountain,Mid-Western,2074,2017,Major,Alcoholism,31,21,53,21,31.0,"College degree, bachelor, master",yes,30.03513341,81.89063467,old
2036,Humla,Karnali,Mountain,Mid-Western,2074,2017,Minor,Epilepsy,28,44,36,34,38.0,Unknown,no,30.03513341,81.89063467,Middle-age
2037,Bajura,Seti,Mountain,Far-Western,2074,2017,Severe,Depression,46,29,49,42,33.0,Unknown,yes,29.56558569,81.5497582,old
2038,Bajura,Seti,Mountain,Far-Western,2074,2017,Severe,Psychosis,32,28,21,59,1.0,Unknown,no,29.56558569,81.5497582,Middle-age
2039,Bajura,Seti,Mountain,Far-Western,2074,2017,Severe,Anxiety,58,31,26,53,36.0,Unknown,no,29.56558569,81.5497582,Middle-age
2040,Bajura,Seti,Mountain,Far-Western,2074,2017,Minor,Mental retardation,48,50,35,29,69.0,"College degree, bachelor, master",no,29.56558569,81.5497582,Middle-age
2041,Bajura,Seti,Mountain,Far-Western,2074,2017,Minor,Hysteria,26,37,33,56,7.0,"College degree, bachelor, master",no,29.56558569,81.5497582,Middle-age
2042,Bajura,Seti,Mountain,Far-Western,2074,2017,Severe,Alcoholism,19,20,39,25,14.0,"College degree, bachelor, master",no,29.56558569,81.5497582,Middle-age
2043,Bajura,Seti,Mountain,Far-Western,2074,2017,Major,Epilepsy,52,25,33,31,46.0,"College degree, bachelor, master",no,29.56558569,81.5497582,Middle-age
2044,Bajhang,Seti,Mountain,Far-Western,2074,2017,Major,Depression,26,40,56,18,48.0,Up to 9 years of school,yes,29.70710581,81.14117632,old
2045,Bajhang,Seti,Mountain,Far-Western,2074,2017,Major,Psychosis,48,34,33,38,44.0,"College degree, bachelor, master",no,29.70710581,81.14117632,Middle-age
2046,Bajhang,Seti,Mountain,Far-Western,2074,2017,Severe,Anxiety,46,30,59,48,28.0,Up to 9 years of school,yes,29.70710581,81.14117632,old
2047,Bajhang,Seti,Mountain,Far-Western,2074,2017,Minor,Mental retardation,29,43,44,34,38.0,PhD/Doctorate,yes,29.70710581,81.14117632,old
2048,Bajhang,Seti,Mountain,Far-Western,2074,2017,Minor,Hysteria,39,50,22,20,69.0,Unknown,no,29.70710581,81.14117632,Middle-age
2049,Bajhang,Seti,Mountain,Far-Western,2074,2017,Severe,Alcoholism,29,48,35,48,29.0,"College degree, bachelor, master",no,29.70710581,81.14117632,Middle-age
2050,Bajhang,Seti,Mountain,Far-Western,2074,2017,Major,Epilepsy,26,34,20,47,13.0,"College degree, bachelor, master",no,29.70710581,81.14117632,Middle-age
2051,Achham,Seti,Hill,Far-Western,2074,2017,Minor,Depression,58,22,34,43,37.0,"College degree, bachelor, master",no,29.09181279,81.31707255,Middle-age
2052,Achham,Seti,Hill,Far-Western,2074,2017,Severe,Psychosis,60,48,37,38,70.0,"College degree, bachelor, master",no,29.09181279,81.31707255,Middle-age
2053,Achham,Seti,Hill,Far-Western,2074,2017,Severe,Anxiety,55,51,51,55,51.0,Up to 12 years of school,yes,29.09181279,81.31707255,old
2054,Achham,Seti,Hill,Far-Western,2074,2017,Major,Mental retardation,56,21,38,22,55.0,"College degree, bachelor, master",no,29.09181279,81.31707255,Middle-age
2055,Achham,Seti,Hill,Far-Western,2074,2017,Severe,Hysteria,30,18,22,42,6.0,"College degree, bachelor, master",no,29.09181279,81.31707255,Middle-age
2056,Achham,Seti,Hill,Far-Western,2074,2017,Minor,Alcoholism,31,33,53,43,21.0,"College degree, bachelor, master",yes,29.09181279,81.31707255,old
2057,Achham,Seti,Hill,Far-Western,2074,2017,Severe,Epilepsy,25,47,53,36,36.0,"College degree, bachelor, master",yes,29.09181279,81.31707255,old
2058,Doti,Seti,Hill,Far-Western,2074,2017,Major,Depression,25,20,35,28,17.0,"College degree, bachelor, master",no,29.17612357,80.88531019,Middle-age
2059,Doti,Seti,Hill,Far-Western,2074,2017,Minor,Psychosis,34,53,56,20,67.0,Unknown,yes,29.17612357,80.88531019,old
2060,Doti,Seti,Hill,Far-Western,2074,2017,Minor,Anxiety,24,29,39,30,23.0,"College degree, bachelor, master",no,29.17612357,80.88531019,Middle-age
2061,Doti,Seti,Hill,Far-Western,2074,2017,Minor,Mental retardation,21,33,20,19,35.0,"College degree, bachelor, master",no,29.17612357,80.88531019,Middle-age
2062,Doti,Seti,Hill,Far-Western,2074,2017,Major,Hysteria,27,25,28,40,12.0,"College degree, bachelor, master",no,29.17612357,80.88531019,Middle-age
2063,Doti,Seti,Hill,Far-Western,2074,2017,Minor,Alcoholism,60,42,19,55,47.0,"Some College, short continuing education or equivalent",no,29.17612357,80.88531019,young
2064,Doti,Seti,Hill,Far-Western,2074,2017,Major,Epilepsy,57,20,43,48,29.0,PhD/Doctorate,yes,29.17612357,80.88531019,old
2065,Kailali,Seti,Terai,Far-Western,2074,2017,Major,Depression,31,30,29,32,29.0,"College degree, bachelor, master",no,28.76091877,80.82634991,Middle-age
2066,Kailali,Seti,Terai,Far-Western,2074,2017,Major,Psychosis,40,21,60,25,36.0,Up to 9 years of school,yes,28.76091877,80.82634991,old
2067,Kailali,Seti,Terai,Far-Western,2074,2017,Minor,Anxiety,56,23,19,48,31.0,Unknown,no,28.76091877,80.82634991,young
2068,Kailali,Seti,Terai,Far-Western,2074,2017,Major,Mental retardation,49,21,52,22,48.0,"College degree, bachelor, master",yes,28.76091877,80.82634991,old
2069,Kailali,Seti,Terai,Far-Western,2074,2017,Normal,Hysteria,36,37,38,55,18.0,"College degree, bachelor, master",Unknown,28.76091877,80.82634991,Middle-age
2070,Kailali,Seti,Terai,Far-Western,2074,2017,Major,Alcoholism,20,19,22,39,0.0,"College degree, bachelor, master",no,28.76091877,80.82634991,Middle-age
2071,Kailali,Seti,Terai,Far-Western,2074,2017,Normal,Epilepsy,30,44,49,59,15.0,"College degree, bachelor, master",yes,28.76091877,80.82634991,old
2072,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Minor,Depression,30,55,21,39,46.0,"College degree, bachelor, master",no,28.83479468,80.38209033,Middle-age
2073,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Major,Psychosis,24,56,56,26,54.0,Up to 9 years of school,yes,28.83479468,80.38209033,old
2074,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Minor,Anxiety,39,19,55,28,30.0,"College degree, bachelor, master",no,28.83479468,80.38209033,old
2075,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Minor,Mental retardation,24,54,32,26,52.0,"College degree, bachelor, master",Unknown,28.83479468,80.38209033,Middle-age
2076,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Normal,Hysteria,40,32,40,20,52.0,PhD/Doctorate,Unknown,28.83479468,80.38209033,old
2077,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Severe,Alcoholism,47,26,45,18,55.0,PhD/Doctorate,no,28.83479468,80.38209033,old
2078,Kanchanpur,Mahakali,Terai,Far-Western,2074,2017,Normal,Epilepsy,35,60,18,3,92.0,Up to 12 years of school,no,28.83479468,80.38209033,young
2079,Dadeldhura,Mahakali,Hill,Far-Western,2074,2017,Major,Depression,58,52,47,50,60.0,PhD/Doctorate,no,29.22747472,80.48540118,old
2080,Dadeldhura,Mahakali,Hill,Far-Western,2074,2017,Major,Psychosis,42,29,55,31,40.0,Up to 9 years of school,no,29.22747472,80.48540118,old
2081,Dadeldhura,Mahakali,Hill,Far-Western,2074,2017,Major,Anxiety,57,31,22,43,45.0,"College degree, bachelor, master",yes,29.22747472,80.48540118,Middle-age
